,time,open,high,low,close
0,2025-12-29 16:00:00,25511.9,25635.4,25464.65,25515.9
1,2025-12-29 20:00:00,25515.15,25589.9,25496.65,25559.25
2,2025-12-30 00:00:00,25559.85,25562.1,25514.6,25542.1
3,2025-12-30 04:00:00,25542.35,25571.85,25519.35,25562.35
4,2025-12-30 08:00:00,25562.35,25570.35,25502.1,25557.6
5,2025-12-30 12:00:00,25557.35,25564.1,25511.1,25533.6
6,2025-12-30 16:00:00,25533.6,25611.7,25497.35,25548.2
7,2025-12-30 20:00:00,25548.2,25563.2,25487.7,25494.8
8,2025-12-31 00:00:00,25509.55,25510.05,25410.3,25440.05
9,2025-12-31 04:00:00,25439.8,25457.55,25416.55,25421.05
10,2025-12-31 08:00:00,25421.05,25431.3,25375.05,25391.05
11,2025-12-31 12:00:00,25391.05,25535.05,25383.55,25523.55
12,2025-12-31 16:00:00,25522.3,25536.8,25365.3,25404.45
13,2025-12-31 20:00:00,25403.95,25456.95,25255.95,25261.55
14,2026-01-02 00:00:00,25305.65,25388.4,25279.9,25387.65
15,2026-01-02 04:00:00,25387.9,25472.4,25387.4,25468.4
16,2026-01-02 08:00:00,25468.4,25565.15,25454.9,25556.65
17,2026-01-02 12:00:00,25556.65,25567.4,25507.4,25520.4
18,2026-01-02 16:00:00,25520.15,25629.65,25127.05,25155.05
19,2026-01-02 20:00:00,25153.3,25287.3,25095.8,25223.5
20,2026-01-05 00:00:00,25276.9,25324.65,25244.65,25296.15
21,2026-01-05 04:00:00,25295.65,25334.9,25291.4,25332.65
22,2026-01-05 08:00:00,25332.9,25391.4,25290.9,25346.65
23,2026-01-05 12:00:00,25346.9,25424.15,25345.65,25409.65
24,2026-01-05 16:00:00,25410.15,25543.65,25372.75,25463.4
25,2026-01-05 20:00:00,25463.4,25468.4,25386.4,25415.0
26,2026-01-06 00:00:00,25432.1,25444.35,25395.35,25439.6
27,2026-01-06 04:00:00,25439.6,25495.6,25434.6,25485.85
28,2026-01-06 08:00:00,25485.85,25514.6,25367.85,25426.1
29,2026-01-06 12:00:00,25426.6,25487.6,25412.35,25455.1
30,2026-01-06 16:00:00,25454.85,25620.05,25430.85,25594.05
31,2026-01-06 20:00:00,25594.3,25671.55,25580.3,25666.4
32,2026-01-07 00:00:00,25675.7,25684.45,25652.2,25656.7
33,2026-01-07 04:00:00,25655.95,25672.45,25615.7,25623.2
34,2026-01-07 08:00:00,25623.2,25639.7,25568.2,25594.45
35,2026-01-07 12:00:00,25594.45,25633.7,25569.95,25628.7
36,2026-01-07 16:00:00,25628.45,25834.45,25602.45,25808.95
37,2026-01-07 20:00:00,25808.95,25816.7,25656.45,25675.3
38,2026-01-08 00:00:00,25686.3,25689.3,25650.55,25680.8
39,2026-01-08 04:00:00,25681.05,25683.55,25581.3,25581.8
40,2026-01-08 08:00:00,25581.8,25646.55,25514.05,25614.8
41,2026-01-08 12:00:00,25614.55,25663.55,25584.55,25643.8
42,2026-01-08 16:00:00,25643.8,25654.3,25412.8,25521.55
43,2026-01-08 20:00:00,25521.8,25588.55,25443.05,25556.9
44,2026-01-09 00:00:00,25566.05,25573.55,25474.55,25498.55
45,2026-01-09 04:00:00,25498.3,25541.8,25496.3,25540.05
46,2026-01-09 08:00:00,25539.8,25571.3,25499.55,25569.05
47,2026-01-09 12:00:00,25569.55,25652.55,25559.75,25649.55
48,2026-01-09 16:00:00,25650.05,25782.55,25461.3,25768.55
49,2026-01-09 20:00:00,25768.55,25831.55,25726.3,25778.9
50,2026-01-12 00:00:00,25760.5,25778.25,25580.25,25635.5
51,2026-01-12 04:00:00,25635.5,25635.75,25534.75,25556.25
52,2026-01-12 08:00:00,25556.25,25608.25,25492.25,25555.0
53,2026-01-12 12:00:00,25554.75,25617.75,25542.75,25598.5
54,2026-01-12 16:00:00,25598.5,25829.25,25575.25,25823.0
55,2026-01-12 20:00:00,25823.75,25876.5,25788.5,25797.85
56,2026-01-13 00:00:00,25797.9,25800.4,25705.4,25738.4
57,2026-01-13 04:00:00,25738.4,25765.9,25720.65,25760.65
58,2026-01-13 08:00:00,25760.9,25795.65,25752.4,25768.65
59,2026-01-13 12:00:00,25768.65,25904.65,25729.9,25830.15
60,2026-01-13 16:00:00,25826.4,25897.4,25667.9,25733.65
61,2026-01-13 20:00:00,25732.65,25780.8,25659.3,25752.9
62,2026-01-14 00:00:00,25766.15,25780.4,25735.15,25742.15
63,2026-01-14 04:00:00,25742.15,25781.4,25709.15,25712.15
64,2026-01-14 08:00:00,25712.15,25734.9,25691.65,25708.65
65,2026-01-14 12:00:00,25709.15,25709.4,25558.45,25611.2
66,2026-01-14 16:00:00,25610.45,25646.95,25285.7,25301.95
67,2026-01-14 20:00:00,25301.95,25511.45,25273.7,25464.3
68,2026-01-15 00:00:00,25446.4,25501.4,25421.65,25488.4
69,2026-01-15 04:00:00,25488.65,25506.4,25428.65,25481.15
70,2026-01-15 08:00:00,25480.9,25687.65,25470.15,25666.9
71,2026-01-15 12:00:00,25666.65,25770.6,25657.65,25747.6
72,2026-01-15 16:00:00,25748.1,25811.6,25664.1,25711.1
73,2026-01-15 20:00:00,25708.6,25765.35,25539.85,25566.25
74,2026-01-16 00:00:00,25583.9,25646.15,25567.4,25632.9
75,2026-01-16 04:00:00,25632.65,25683.9,25625.9,25671.65
76,2026-01-16 08:00:00,25671.65,25708.15,25658.4,25678.15
77,2026-01-16 12:00:00,25679.15,25734.9,25665.65,25689.4
78,2026-01-16 16:00:00,25689.65,25753.9,25455.65,25524.75
79,2026-01-16 20:00:00,25525.5,25611.75,25518.75,25543.3
80,2026-01-19 00:00:00,25322.8,25339.8,25246.8,25269.05
81,2026-01-19 04:00:00,25269.05,25290.05,25235.3,25264.3
82,2026-01-19 08:00:00,25264.3,25284.55,25134.8,25151.05
83,2026-01-19 12:00:00,25151.05,25219.05,25128.05,25190.8
84,2026-01-19 16:00:00,25190.8,25287.3,25107.55,25267.8
85,2026-01-19 20:00:00,25267.55,25267.55,25267.55,25267.55
86,2026-01-20 00:00:00,25274.3,25305.3,25197.8,25293.05
87,2026-01-20 04:00:00,25292.8,25311.05,25240.05,25255.8
88,2026-01-20 08:00:00,25255.8,25263.3,24968.05,25006.3
89,2026-01-20 12:00:00,25007.05,25154.8,24982.05,25083.8
90,2026-01-20 16:00:00,25083.3,25303.95,25073.05,25166.55
91,2026-01-20 20:00:00,25165.05,25185.05,24974.05,25017.65
92,2026-01-21 00:00:00,25029.85,25095.85,24981.1,25079.1
93,2026-01-21 04:00:00,25079.6,25104.35,25045.35,25097.35
94,2026-01-21 08:00:00,25097.35,25123.85,25005.65,25006.4
95,2026-01-21 12:00:00,25006.4,25064.9,24903.9,24960.9
96,2026-01-21 16:00:00,24960.65,25371.0,24950.4,25123.0
97,2026-01-21 20:00:00,25120.75,25526.25,25028.5,25384.6
98,2026-01-22 00:00:00,25425.1,25479.1,25401.85,25473.1
99,2026-01-22 04:00:00,25473.35,25481.1,25406.6,25412.35
100,2026-01-22 08:00:00,25412.35,25594.35,25362.1,25577.6
101,2026-01-22 12:00:00,25577.6,25619.1,25538.85,25615.85
102,2026-01-22 16:00:00,25615.6,25618.6,25416.6,25589.6
103,2026-01-22 20:00:00,25589.85,25598.6,25463.85,25508.2
104,2026-01-23 00:00:00,25462.4,25569.15,25461.4,25567.9
105,2026-01-23 04:00:00,25568.65,25595.9,25546.65,25594.4
106,2026-01-23 08:00:00,25594.4,25612.9,25422.4,25440.15
107,2026-01-23 12:00:00,25438.65,25538.15,25431.4,25451.65
108,2026-01-23 16:00:00,25450.9,25727.9,25437.4,25575.15
109,2026-01-23 20:00:00,25575.15,25653.15,25552.4,25559.0
110,2026-01-26 00:00:00,25362.6,25555.6,25314.1,25537.35
111,2026-01-26 04:00:00,25535.85,25563.1,25485.35,25561.6
112,2026-01-26 08:00:00,25561.85,25631.35,25472.1,25507.6
113,2026-01-26 12:00:00,25506.1,25610.85,25503.6,25606.1
114,2026-01-26 16:00:00,25606.1,25825.6,25594.1,25780.35
115,2026-01-26 20:00:00,25780.35,25821.6,25723.6,25750.7
116,2026-01-27 00:00:00,25739.4,25818.15,25732.9,25814.9
117,2026-01-27 04:00:00,25814.9,25901.9,25813.9,25900.65
118,2026-01-27 08:00:00,25900.65,25920.4,25859.9,25866.4
119,2026-01-27 12:00:00,25866.4,25935.15,25862.9,25883.4
120,2026-01-27 16:00:00,25883.4,25996.65,25810.4,25952.65
121,2026-01-27 20:00:00,25953.15,26008.65,25929.4,26000.5
122,2026-01-28 00:00:00,26025.8,26121.05,26019.55,26097.8
123,2026-01-28 04:00:00,26097.8,26141.55,26085.55,26138.55
124,2026-01-28 08:00:00,26154.8,26241.55,26144.55,26176.8
125,2026-01-28 12:00:00,26176.8,26218.3,26147.3,26165.3
126,2026-01-28 16:00:00,26165.3,26190.55,25992.8,26032.8
127,2026-01-28 20:00:00,26032.05,26179.55,25887.65,26159.4
128,2026-01-29 00:00:00,26174.4,26187.15,25979.9,26022.15
129,2026-01-29 04:00:00,26022.15,26143.65,26016.15,26127.9
130,2026-01-29 08:00:00,26128.15,26172.15,26102.4,26103.4
131,2026-01-29 12:00:00,26103.4,26128.65,26042.8,26086.15
132,2026-01-29 16:00:00,26086.4,26088.4,25429.15,25652.9
133,2026-01-29 20:00:00,25651.4,25932.15,25650.4,25874.75
134,2026-01-30 00:00:00,25891.35,25910.85,25689.1,25745.1
135,2026-01-30 04:00:00,25745.85,25788.35,25629.35,25725.6
136,2026-01-30 08:00:00,25726.85,25731.6,25543.35,25590.6
137,2026-01-30 12:00:00,25590.1,25798.35,25587.1,25719.6
138,2026-01-30 16:00:00,25719.35,25833.6,25574.6,25576.45
139,2026-01-30 20:00:00,25575.95,25676.85,25465.35,25534.95
140,2026-02-02 00:00:00,25421.6,25549.35,25278.35,25311.35
141,2026-02-02 04:00:00,25311.85,25353.85,25121.1,25153.85
142,2026-02-02 08:00:00,25153.85,25367.1,25085.35,25358.1
143,2026-02-02 12:00:00,25358.1,25444.35,25295.6,25433.85
